Task name,Due,Status,Assignee,Summary,Tags
Contains Duplicate,,Not started,,,HashMap
Valid Anagram,,Not started,,,String
Two Sum,,Not started,,,BinarySearch
Valid Palindrome,,Not started,,,Two Pointer
https://leetcode.com/problems/missing-number/,,Not started,,,Binary Search
https://leetcode.com/problems/first-bad-version/,,Not started,,,BinarySearch
Min Cost Climbing Stairs,,Not started,,,Dynamic Programming
Number of 1 Bits,,Not started,,,Bit Manipulation
Counting Bits,,Not started,,,Bit Manipulation
Missing Number,,Not started,,,Binary Search
Reverse Bits,,Not started,,,Bit Manipulation
https://leetcode.com/problems/largest-odd-number-in-string/,,Not started,,,String